228,180,26
204,136,32
176,160,74
220,264,10
300,416,2
228,184,18
192,292,12
176,164,102
220,268,12
192,296,2
228,188,32
176,168,78
236,72,2
68,20,6
160,892,2
96,252,4
328,180,4
424,460,2
68,24,2
372,440,2
408,332,2
252,120,12
356,312,6
400,420,2
96,256,2
328,184,4
20,72,2
68,28,8
72,216,2
320,272,14
372,444,2
252,124,16
356,316,6
328,188,4
252,128,12
372,448,2
396,492,4
424,468,2
304,148,2
276,172,6
320,276,14
276,176,10
176,620,2
108,320,8
148,496,2
496,492,4
420,280,4
496,496,4
208,320,10
508,348,2
208,324,6
420,288,2
208,328,4
128,180,84
1024,664,2
156,312,2
172,440,4
104,140,254
196,484,2
128,184,30
104,144,208
1000,628,2
608,352,2
128,188,50
172,448,2
104,148,202
624,484,2
520,296,4
256,312,2
272,440,2
204,140,38
152,120,106
300,420,2
256,316,2
308,336,6
272,444,4
220,272,8
204,144,24
152,124,80
300,424,4
272,448,4
176,172,136
220,276,4
152,128,92
228,192,30
204,148,34
176,176,162
228,196,14
172,900,4
576,192,2
172,904,4
72,220,2
356,320,2
68,32,24
96,264,2
424,472,2
320,280,16
408,344,2
68,36,54
356,324,6
304,152,12
400,432,2
96,268,2
328,196,2
20,84,2
252,136,4
320,284,10
356,328,6
276,180,12
304,156,8
400,436,16
effects\蓄力.fsi,,30
20,88,2
320,288,8
276,184,14
276,188,12
1420,960,2
108,336,2
576,652,2
576,656,12
384,60,4
352,144,2
420,292,2
508,356,2
240,60,2
352,148,4
472,468,16
524,488,4
144,24,24
72,12,4
208,336,4
304,616,2
72,16,12
196,492,4
128,192,48
156,324,4
104,152,144
704,640,2
128,196,50
156,328,2
120,284,2
104,156,128
404,84,2
532,304,2
600,452,4
120,288,2
608,368,2
256,320,4
48,284,18
256,324,6
308,344,2
220,280,10
152,132,84
204,152,28
48,288,6
220,284,2
324,476,2
308,348,6
256,328,2
176,180,142
152,136,90
204,156,28
300,436,2
176,184,44
220,288,46
176,188,70
708,376,2
672,484,2
68,40,56
56,100,340
700,464,2
236,96,8
304,160,10
372,460,6
408,352,4
252,140,8
68,44,136
56,104,214
400,440,8
304,164,4
252,144,12
408,356,10
372,464,6
320,292,12
68,48,98
20,92,20
56,108,132
304,168,6
372,468,4
276,192,8
320,296,12
252,148,18
20,96,16
1172,1148,2
276,196,22
576,660,12
432,300,2
124,476,4
576,664,24
472,472,24
524,492,2
508,364,2
472,476,2
